code,ano,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,prosp_soc,renda_per_capita,gini
314540,2010,0.293,0.153,0.38,0.344,0.636,0.823,0.49,0.638,Alto,423.44,0.41
314545,2010,0.34,0.178,0.433,0.409,0.626,0.812,0.498,0.607,Médio,348.9,0.46
314560,2010,0.224,0.097,0.323,0.253,0.699,0.842,0.587,0.691,Alto,588.2,0.45
314570,2010,0.314,0.149,0.432,0.361,0.635,0.794,0.523,0.616,Médio,369.25,0.44
314550,2010,0.257,0.123,0.331,0.316,0.674,0.809,0.577,0.656,Alto,475.23,0.41
314580,2010,0.258,0.073,0.383,0.318,0.663,0.806,0.559,0.646,Alto,446.23,0.44
314585,2010,0.293,0.178,0.365,0.335,0.637,0.824,0.5,0.627,Alto,395.74,0.39
314587,2010,0.369,0.112,0.501,0.493,0.562,0.778,0.414,0.551,Baixo,247.35,0.54
314590,2010,0.251,0.253,0.256,0.244,0.764,0.872,0.68,0.753,Muito Alto,866.02,0.52
314600,2010,0.217,0.065,0.311,0.274,0.722,0.861,0.622,0.703,Muito Alto,635.38,0.45
314610,2010,0.22,0.17,0.237,0.251,0.741,0.834,0.677,0.721,Muito Alto,710.55,0.5
314620,2010,0.426,0.112,0.532,0.636,0.595,0.789,0.459,0.582,Muito Baixo,298.76,0.51
314625,2010,0.561,0.646,0.611,0.426,0.6,0.795,0.472,0.575,Muito Baixo,286.32,0.44
314630,2010,0.483,0.232,0.567,0.651,0.596,0.797,0.478,0.556,Muito Baixo,253.77,0.54
314655,2010,0.443,0.256,0.563,0.509,0.59,0.76,0.52,0.52,Muito Baixo,203.93,0.46
314640,2010,0.256,0.067,0.345,0.356,0.669,0.823,0.526,0.691,Alto,589.16,0.46
314650,2010,0.229,0.153,0.244,0.289,0.728,0.874,0.616,0.717,Muito Alto,690.97,0.46
314660,2010,0.216,0.039,0.288,0.32,0.72,0.845,0.672,0.657,Muito Alto,476.35,0.44
314670,2010,0.252,0.062,0.339,0.356,0.703,0.841,0.622,0.663,Muito Alto,494.63,0.49
314675,2010,0.483,0.224,0.583,0.643,0.565,0.738,0.437,0.559,Muito Baixo,259.75,0.45
314690,2010,0.266,0.052,0.409,0.337,0.666,0.833,0.545,0.65,Alto,455.96,0.49
314700,2010,0.278,0.221,0.332,0.28,0.744,0.854,0.685,0.704,Muito Alto,637.8,0.51
314720,2010,0.195,0.086,0.287,0.212,0.715,0.85,0.624,0.69,Muito Alto,587.36,0.41
314730,2010,0.229,0.092,0.334,0.261,0.729,0.852,0.657,0.692,Muito Alto,592.61,0.46
314740,2010,0.272,0.15,0.313,0.354,0.694,0.792,0.625,0.674,Alto,530.79,0.45
314710,2010,0.22,0.192,0.262,0.205,0.725,0.848,0.627,0.715,Muito Alto,686.42,0.43
314760,2010,0.231,0.071,0.313,0.309,0.715,0.86,0.623,0.683,Muito Alto,561.44,0.49
314770,2010,0.228,0.083,0.305,0.298,0.687,0.808,0.594,0.676,Alto,535.96,0.49
314780,2010,0.262,0.071,0.359,0.356,0.648,0.809,0.508,0.662,Alto,493.38,0.46
314750,2010,0.337,0.288,0.332,0.391,0.642,0.787,0.534,0.631,Médio,405.19,0.41
314790,2010,0.213,0.12,0.295,0.225,0.756,0.886,0.657,0.741,Muito Alto,802.97,0.49
314795,2010,0.423,0.143,0.489,0.637,0.614,0.787,0.534,0.55,Baixo,244.72,0.47
314800,2010,0.194,0.126,0.242,0.215,0.764,0.855,0.698,0.749,Muito Alto,843.57,0.5
314810,2010,0.246,0.2,0.294,0.244,0.728,0.852,0.627,0.723,Muito Alto,720.59,0.49
314820,2010,0.247,0.07,0.333,0.338,0.682,0.796,0.576,0.691,Alto,590.26,0.49
314830,2010,0.31,0.155,0.394,0.381,0.637,0.823,0.497,0.632,Médio,407.91,0.48
314840,2010,0.502,0.509,0.463,0.535,0.625,0.791,0.521,0.593,Baixo,321.22,0.52
314850,2010,0.414,0.198,0.501,0.545,0.628,0.813,0.507,0.599,Baixo,333.55,0.53
314870,2010,0.447,0.293,0.537,0.511,0.627,0.797,0.518,0.596,Baixo,327.18,0.53
314875,2010,0.309,0.034,0.401,0.492,0.573,0.74,0.457,0.557,Baixo,256.67,0.5
314900,2010,0.261,0.016,0.347,0.422,0.655,0.827,0.539,0.631,Alto,406.3,0.53
314880,2010,0.394,0.302,0.432,0.447,0.624,0.821,0.466,0.636,Médio,418.07,0.54
